median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
5,Katrina Scott,380,149,4.0%,5.0%,52.0%,61.4%,41.2%,9.6%,15.8%,3.3%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,5.6%,63.3%,6.7%,58.8%,45.4%,40.4%,53.3%,30.6%,39.4%,54.5%,26.8%,46.8%,10.4%,15.6%,52.1%,-11,79.7%,47.2%,2.47,15.7%,13.9%,4.1,54.7%,48.6%,44.9%,59.6%,48.9%,4.0%,2.1,2.8,0.0%,-,4.1%,60.7%,8.7%,19.2%,33.3%,9.9%,28.9%,0.3%,66.7%,-51,-32
2,Robin Anderson,386,137,5.7%,5.3%,58.3%,57.1%,50.5%,10.1%,17.1%,4.1%,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,4.0%,57.7%,2.9%,56.9%,44.5%,45.6%,44.2%,25.2%,30.7%,48.4%,10.0%,35.9%,11.6%,11.6%,37.7%,-7,68.5%,48.4%,2.51,11.7%,20.4%,4.0,50.2%,40.9%,46.5%,54.8%,46.2%,28.1%,-1.3,0.9,0.0%,-,4.9%,57.9%,6.7%,7.7%,0.0%,7.4%,32.0%,0.0%,-,-77,-59
2,Fangzhou Liu,388,127,5.3%,3.7%,60.8%,61.8%,43.8%,14.9%,21.1%,9.4%,4.5%,N/A,N/A,N/A,N/A,N/A,N/A,4.7%,59.3%,4.8%,56.7%,44.3%,45.3%,41.8%,25.3%,33.3%,53.8%,4.8%,17.2%,10.0%,14.0%,24.4%,-14,71.1%,52.8%,2.57,20.0%,11.1%,4.4,44.3%,42.0%,51.7%,53.1%,43.0%,1.3%,7.4,-2.2,0.0%,-,2.4%,85.7%,12.0%,23.1%,0.0%,7.2%,18.4%,0.2%,0.0%,-5,-20
1,Cristina Dinu,391,179,4.9%,2.8%,62.5%,60.0%,40.7%,12.6%,26.4%,10.8%,2.4%,N/A,N/A,N/A,N/A,N/A,N/A,2.2%,55.5%,1.3%,54.2%,47.5%,47.2%,35.4%,10.0%,18.0%,37.8%,25.0%,81.0%,8.1%,13.5%,32.4%,-36,78.9%,53.5%,2.57,6.7%,8.8%,4.1,38.4%,47.1%,40.0%,66.7%,41.4%,7.4%,9.8,-10.6,0.0%,-,3.8%,57.1%,14.8%,44.0%,0.0%,3.3%,11.1%,2.2%,28.6%,26,-7
37,Qiang Wang,395,12,3.5%,3.1%,62.3%,62.4%,47.6%,12.6%,17.7%,6.0%,3.4%,98.8,101.5,96.3,80.7,82.3,83.1,3.3%,59.4%,3.0%,56.3%,45.5%,46.3%,46.2%,21.8%,30.3%,49.2%,27.5%,48.4%,15.3%,17.2%,41.1%,-25,76.9%,48.5%,2.48,11.5%,9.4%,4.8,50.9%,46.2%,46.6%,47.0%,53.6%,6.1%,3.3,-0.3,0.0%,100.0%,6.3%,59.6%,9.4%,13.5%,13.4%,6.6%,21.8%,0.4%,2.7%,-47,-44
1,Victoria Rodriguez,396,216,2.6%,4.1%,69.9%,50.8%,38.6%,8.7%,29.4%,2.5%,5.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,52.8%,1.0%,53.4%,48.8%,48.8%,47.1%,11.1%,11.1%,46.9%,87.5%,15.4%,9.5%,9.5%,47.4%,-49,82.4%,41.1%,2.36,3.1%,0.0%,6.5,47.6%,50.0%,30.0%,43.8%,39.5%,2.7%,-1.8,-5.8,0.0%,-,14.3%,66.7%,5.0%,10.8%,0.0%,2.2%,3.1%,0.3%,0.0%,-61,-76
10,Tamira Paszek,397,26,2.0%,5.8%,63.1%,59.0%,43.7%,14.5%,15.2%,3.4%,4.4%,94.3,,,81.6,,,1.8%,54.2%,0.9%,53.5%,43.7%,43.4%,47.7%,13.2%,19.3%,50.5%,61.1%,27.3%,14.3%,16.5%,41.0%,26,74.2%,43.9%,2.50,6.6%,12.3%,5.3,45.6%,51.1%,41.8%,44.0%,47.4%,14.4%,2.8,7.4,0.0%,-,5.2%,43.3%,6.8%,16.0%,20.0%,12.9%,31.1%,1.8%,21.7%,-53,-65
13,Aliona Bolsova,405,88,2.8%,4.0%,64.7%,59.2%,43.9%,13.7%,18.9%,6.3%,2.8%,92.9,96.0,86.6,76.3,81.0,73.0,1.8%,55.6%,2.1%,55.3%,46.6%,47.9%,45.1%,18.4%,29.1%,47.7%,29.8%,65.9%,12.7%,18.3%,39.5%,10,81.1%,51.2%,2.49,11.8%,6.7%,5.4,49.6%,50.1%,46.0%,48.5%,50.5%,12.5%,3.4,-0.4,0.3%,50.0%,6.4%,74.1%,11.2%,14.8%,8.9%,5.2%,19.2%,1.0%,34.2%,-55,-52
1,Jessica Pieri,409,205,0.0%,1.7%,70.1%,52.4%,31.4%,18.0%,25.7%,9.2%,9.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.3%,52.3%,0.3%,51.4%,50.3%,50.7%,43.8%,10.9%,14.5%,46.9%,20.0%,20.0%,4.0%,4.0%,37.5%,-76,90.6%,51.9%,2.25,0.0%,8.3%,6.9,50.0%,47.6%,41.4%,52.4%,63.7%,6.3%,-0.8,0.6,0.0%,-,13.8%,56.5%,4.7%,14.6%,0.0%,6.7%,23.5%,0.6%,33.3%,-82,-81
1,Matilde Paoletti,414,262,0.3%,4.3%,65.8%,62.3%,37.5%,15.3%,29.1%,12.3%,3.7%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,57.1%,0.0%,46.2%,42.2%,39.5%,48.9%,12.8%,23.1%,58.8%,0.0%,50.0%,8.3%,12.5%,18.2%,-42,83.0%,49.3%,2.67,1.5%,22.2%,6.0,41.6%,48.9%,57.6%,46.2%,56.5%,8.5%,6.7,-3.0,0.0%,-,14.8%,69.0%,12.2%,24.5%,12.5%,4.4%,6.3%,0.6%,33.3%,-7,-14
1,Stephanie Wagner,416,263,3.8%,7.7%,50.0%,53.8%,46.2%,8.3%,11.1%,5.7%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,54.5%,1.4%,56.9%,47.6%,51.0%,43.6%,26.9%,38.5%,36.8%,18.2%,81.8%,9.1%,13.6%,50.0%,-30,55.4%,45.2%,2.87,0.0%,5.0%,2.8,38.8%,50.0%,25.0%,100.0%,52.8%,4.0%,2.2,14.1,0.0%,-,0.9%,100.0%,19.4%,40.0%,0.0%,12.9%,37.5%,0.9%,0.0%,-52,-41
2,Gabriela Lee,421,136,1.2%,4.0%,64.5%,54.9%,49.0%,16.0%,21.6%,10.9%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.7%,54.8%,0.3%,52.6%,45.2%,49.0%,50.0%,22.1%,29.5%,51.4%,37.5%,75.0%,18.8%,21.9%,46.2%,58,78.4%,41.8%,2.44,17.8%,4.5%,5.1,45.3%,49.2%,38.2%,52.8%,53.1%,26.1%,3.6,1.6,0.0%,-,8.0%,65.0%,12.3%,20.8%,14.8%,7.6%,13.3%,0.9%,60.0%,-31,-26
3,Usue Maitane Arconada,424,130,0.5%,6.8%,65.1%,54.7%,42.5%,7.2%,18.8%,4.9%,2.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.4%,51.9%,0.8%,51.4%,47.1%,48.9%,42.3%,16.8%,20.3%,41.2%,20.0%,18.2%,13.7%,17.8%,44.4%,14,73.7%,52.6%,2.33,5.1%,8.5%,4.9,43.2%,50.8%,44.4%,45.5%,46.8%,4.5%,2.1,0.5,0.0%,-,10.6%,49.0%,7.0%,12.6%,20.0%,5.3%,21.3%,1.1%,27.3%,-69,-58
20,Kateryna Baindl,426,62,2.1%,3.7%,69.3%,58.3%,43.9%,10.9%,18.4%,4.5%,4.8%,95.7,98.6,92.7,77.3,78.6,77.6,2.8%,56.1%,1.4%,53.2%,43.7%,45.1%,41.3%,22.3%,28.6%,42.9%,8.0%,37.7%,16.0%,20.5%,37.8%,37,73.3%,48.4%,2.50,7.1%,11.2%,4.2,49.5%,43.5%,45.3%,44.1%,48.8%,17.4%,-0.6,1.1,0.0%,-,6.4%,67.2%,8.6%,12.7%,14.8%,7.8%,13.8%,2.7%,37.3%,-43,-39
2,Malene Helgo,428,317,2.0%,5.3%,58.6%,62.2%,45.3%,10.0%,20.3%,7.6%,2.5%,N/A,N/A,N/A,N/A,N/A,N/A,1.8%,53.1%,2.0%,53.6%,49.8%,46.5%,42.5%,23.2%,31.3%,44.7%,44.8%,34.5%,12.1%,19.0%,39.2%,-4,68.8%,46.4%,2.63,21.3%,23.5%,3.9,45.5%,43.8%,50.0%,37.5%,57.3%,3.8%,4.3,-0.8,0.6%,100.0%,5.2%,68.8%,12.1%,24.0%,15.4%,7.7%,12.5%,0.8%,0.0%,-4,-1
1,Jesika Maleckova,431,191,1.5%,1.9%,62.6%,57.4%,40.3%,17.7%,23.9%,7.1%,7.1%,N/A,N/A,N/A,N/A,N/A,N/A,3.4%,56.3%,2.9%,52.3%,45.2%,48.1%,39.5%,33.3%,39.4%,40.9%,9.1%,25.0%,15.8%,15.8%,37.5%,11,71.2%,42.9%,2.77,18.2%,6.7%,3.9,50.8%,26.5%,46.2%,71.4%,44.3%,15.5%,-0.7,4.9,0.0%,-,6.2%,71.4%,10.3%,18.2%,0.0%,14.0%,28.6%,4.3%,0.0%,27,24
1,Fangran Tian,432,361,0.0%,1.5%,53.0%,65.7%,35.5%,16.2%,16.2%,10.7%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,48.6%,2.9%,52.9%,48.8%,55.3%,41.7%,23.3%,33.3%,43.5%,12.5%,81.8%,31.6%,42.1%,38.5%,-43,82.0%,60.0%,2.69,13.0%,5.3%,4.4,57.4%,61.9%,52.9%,38.5%,54.5%,26.0%,15.6,-4.2,0.0%,-,7.1%,100.0%,18.1%,20.0%,0.0%,6.1%,16.7%,0.5%,0.0%,0,9
1,Shiho Akita,438,221,1.6%,9.3%,54.3%,64.3%,45.8%,22.8%,21.1%,18.1%,4.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.7%,55.2%,0.8%,50.7%,46.9%,47.1%,61.5%,17.1%,28.6%,65.5%,38.5%,38.5%,11.5%,11.5%,56.5%,-7,89.5%,54.9%,2.67,32.1%,0.0%,6.3,58.1%,45.5%,71.4%,53.8%,58.8%,9.0%,13.5,3.5,0.0%,-,6.5%,87.5%,12.9%,17.1%,0.0%,4.8%,0.0%,0.9%,33.3%,-51,-47
3,Zhuoxuan Bai,439,83,2.7%,2.8%,63.8%,60.5%,44.5%,10.9%,22.9%,7.2%,3.2%,97.8,100.3,95.9,81.6,82.8,78.5,1.9%,56.0%,1.0%,51.5%,40.2%,39.9%,48.6%,19.3%,27.9%,52.2%,12.1%,70.8%,13.6%,16.0%,42.9%,-61,81.3%,50.5%,2.57,5.4%,19.7%,5.0,51.4%,53.4%,45.2%,53.0%,51.2%,5.5%,5.7,0.0,0.0%,-,6.1%,69.0%,11.2%,21.1%,25.0%,5.3%,20.9%,0.6%,66.7%,-42,-50
1,Audrey Albie,440,221,2.1%,6.4%,57.4%,40.7%,45.0%,15.6%,23.6%,7.4%,3.0%,95.7,,,81.7,,,4.2%,57.3%,2.1%,55.3%,44.1%,46.2%,63.8%,21.6%,43.2%,69.0%,16.7%,66.7%,20.8%,20.8%,57.9%,-11,76.3%,51.1%,2.25,55.2%,0.0%,4.2,55.6%,55.9%,43.8%,77.8%,55.0%,40.7%,6.4,0.0,1.6%,0.0%,21.3%,73.1%,15.2%,25.0%,0.0%,3.3%,16.7%,4.5%,11.1%,7,0
1,Sofia Shapatava,442,186,3.0%,3.6%,57.2%,63.4%,39.2%,9.9%,22.2%,4.7%,2.7%,92.3,,,73.6,,,2.0%,54.9%,1.7%,52.4%,43.6%,45.2%,38.8%,32.7%,40.4%,48.6%,14.3%,59.1%,25.6%,27.9%,28.1%,-104,65.2%,56.9%,2.56,20.6%,20.6%,2.9,56.2%,48.7%,41.7%,60.0%,47.5%,7.9%,0.0,-4.6,0.0%,-,4.8%,22.2%,9.2%,9.1%,33.3%,6.5%,18.8%,0.5%,0.0%,33,18
1,Deborah Chiesa,446,143,3.3%,2.1%,67.5%,58.0%,38.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.9%,56.9%,2.1%,55.3%,46.4%,46.4%,43.5%,9.6%,17.3%,46.8%,20.0%,100.0%,4.3%,4.3%,36.4%,-71,93.6%,58.9%,2.49,8.5%,0.0%,6.6,61.9%,45.5%,47.1%,52.9%,61.9%,7.6%,1.2,1.3,0.0%,-,7.8%,66.7%,5.2%,6.0%,0.0%,2.3%,23.1%,0.2%,100.0%,-131,-135
1,Wakana Sonobe,448,447,4.5%,6.3%,55.9%,66.1%,53.1%,27.2%,16.9%,17.1%,7.0%,N/A,N/A,N/A,N/A,N/A,N/A,7.7%,69.2%,12.5%,79.2%,45.5%,48.8%,67.6%,41.9%,61.3%,66.7%,0.0%,66.7%,5.9%,47.1%,68.8%,-55,73.6%,64.1%,2.60,11.1%,0.0%,3.2,53.8%,64.7%,71.4%,40.0%,55.3%,8.3%,15.3,17.5,0.0%,-,4.4%,66.7%,31.7%,50.0%,11.1%,16.0%,55.6%,1.6%,33.3%,126,125
1,Dejana Radanovic,449,187,1.5%,6.2%,60.9%,52.2%,39.4%,8.1%,29.6%,4.6%,3.1%,N/A,N/A,N/A,N/A,N/A,N/A,2.0%,54.1%,1.5%,52.5%,50.0%,49.8%,35.8%,22.6%,29.0%,45.8%,20.0%,30.0%,17.1%,20.0%,27.6%,-39,81.2%,50.0%,2.67,4.2%,15.4%,4.1,40.0%,51.1%,46.2%,44.4%,36.8%,8.3%,3.4,-5.1,0.0%,-,1.5%,100.0%,19.4%,58.3%,0.0%,5.1%,7.1%,0.4%,0.0%,87,63
3,Radka Zelnickova,452,403,N/A,N/A,N/A,N/A,N/A,15.9%,22.8%,8.5%,7.1%,N/A,N/A,N/A,N/A,N/A,N/A,3.2%,54.8%,3.4%,62.1%,58.1%,48.1%,49.3%,29.3%,44.8%,56.1%,19.0%,50.0%,5.5%,16.4%,38.5%,-66,72.0%,55.4%,2.20,23.2%,8.1%,3.7,51.0%,50.0%,52.5%,56.3%,49.0%,16.4%,12.8,-2.2,0.0%,-,11.1%,69.2%,18.1%,21.7%,15.4%,13.3%,33.3%,2.1%,45.5%,114,98
7,Urszula Radwanska,455,29,2.5%,3.7%,64.4%,58.0%,43.8%,10.4%,18.9%,4.3%,2.6%,88.8,,,73.9,,,1.6%,53.6%,1.3%,50.9%,45.5%,45.9%,39.5%,24.9%,32.9%,40.2%,26.8%,21.9%,19.2%,22.5%,38.1%,68,71.4%,49.5%,2.34,7.2%,12.0%,4.0,48.8%,42.4%,47.8%,55.2%,50.6%,17.8%,0.6,-0.7,0.3%,100.0%,7.2%,67.3%,8.7%,17.3%,22.2%,6.8%,17.3%,2.3%,27.6%,-44,-29
1,Martha Matoula,457,305,1.9%,6.8%,62.1%,54.7%,43.6%,10.0%,18.3%,5.4%,5.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.5%,47.4%,0.0%,48.1%,49.2%,46.5%,44.7%,18.3%,23.9%,41.4%,18.2%,95.2%,15.6%,21.9%,51.9%,15,74.8%,46.5%,2.51,1.8%,6.5%,4.3,47.8%,51.8%,42.9%,50.0%,56.7%,11.7%,2.4,1.6,0.0%,-,9.6%,68.2%,6.9%,9.8%,0.0%,11.9%,34.8%,4.1%,47.1%,-47,-25
53,Alize Cornet,461,11,2.4%,6.4%,61.7%,62.2%,43.0%,12.7%,17.3%,6.0%,3.7%,94.8,97.2,92.2,79.8,79.1,80.5,1.7%,55.5%,1.5%,53.4%,45.6%,46.6%,47.6%,20.5%,28.4%,51.0%,26.6%,16.6%,14.8%,17.7%,41.2%,19,77.3%,50.7%,2.48,10.3%,12.3%,4.9,48.6%,47.3%,49.6%,50.1%,49.3%,11.9%,2.2,2.8,0.0%,-,8.3%,67.5%,7.6%,10.8%,10.9%,6.5%,27.0%,2.0%,32.5%,-74,-53
1,Amelia Rajecki,462,460,7.4%,14.7%,52.9%,77.8%,31.3%,13.2%,17.6%,7.9%,3.5%,N/A,N/A,N/A,N/A,N/A,N/A,6.5%,56.5%,5.4%,50.0%,28.8%,32.7%,51.2%,40.0%,60.0%,61.9%,41.7%,0.0%,13.0%,17.4%,40.0%,-14,70.6%,45.8%,2.14,23.8%,5.6%,3.0,48.9%,43.8%,20.0%,50.0%,48.4%,32.5%,7.8,-2.8,0.0%,-,5.9%,87.5%,22.4%,23.1%,33.3%,4.5%,0.0%,1.3%,0.0%,7,62
3,Nahia Berecoechea,469,363,N/A,N/A,N/A,N/A,N/A,17.3%,22.9%,10.3%,8.1%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,46.6%,1.9%,48.1%,48.3%,47.4%,46.5%,11.0%,20.2%,51.5%,68.0%,33.3%,13.5%,13.5%,35.6%,2,78.8%,51.5%,2.26,34.0%,13.5%,5.0,38.7%,53.8%,48.3%,51.0%,49.1%,3.2%,3.4,5.0,0.0%,-,14.9%,59.6%,11.1%,20.6%,33.3%,8.6%,18.3%,1.1%,12.5%,-32,-37
2,Gabriela Ce,470,221,0.8%,7.3%,70.5%,55.1%,43.4%,14.0%,18.3%,10.4%,3.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.5%,51.6%,0.5%,55.4%,48.1%,49.7%,47.3%,12.4%,15.9%,49.5%,44.4%,35.3%,14.3%,22.9%,40.0%,15,88.9%,46.9%,2.26,0.0%,3.6%,5.8,48.0%,46.2%,42.0%,50.9%,56.8%,13.4%,4.6,-3.5,0.6%,100.0%,14.3%,62.8%,8.9%,9.6%,9.8%,3.9%,0.0%,2.6%,15.8%,-85,-82
1,Anna Siskova,471,236,0.0%,2.6%,77.9%,63.3%,29.4%,13.4%,13.4%,7.9%,6.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,50.7%,1.1%,48.5%,47.3%,47.6%,52.2%,20.3%,33.9%,57.4%,20.0%,22.2%,21.4%,25.0%,40.9%,13,80.2%,53.9%,2.30,4.3%,5.1%,4.5,54.0%,45.9%,57.1%,63.2%,42.7%,18.8%,15.4,0.6,0.0%,-,10.0%,70.0%,14.4%,20.7%,0.0%,10.3%,18.6%,2.7%,60.0%,-40,-34
2,Allie Kiick,473,126,1.8%,6.5%,63.7%,56.4%,39.8%,9.9%,20.5%,5.5%,2.8%,89.2,95.0,86.3,81.5,85.0,,1.6%,53.2%,1.1%,53.3%,47.6%,47.7%,53.0%,41.2%,47.1%,55.0%,9.1%,47.8%,23.5%,29.4%,50.0%,23,75.0%,52.8%,2.63,10.0%,8.0%,4.0,66.7%,56.6%,60.7%,30.8%,54.6%,15.0%,4.5,3.5,0.0%,-,3.0%,50.0%,8.8%,18.8%,0.0%,8.6%,16.7%,0.6%,50.0%,-94,-36
1,Elena Malygina,476,322,0.9%,4.2%,65.8%,48.5%,40.3%,9.9%,30.6%,7.5%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.1%,50.4%,0.0%,48.9%,49.2%,48.2%,33.9%,15.2%,19.6%,38.5%,0.0%,21.4%,22.7%,27.3%,23.5%,41,80.0%,53.1%,2.46,0.0%,7.7%,5.3,53.8%,28.6%,44.4%,40.9%,44.2%,9.0%,0.0,-6.5,0.0%,-,0.9%,100.0%,10.0%,18.2%,0.0%,3.7%,15.4%,2.3%,66.7%,-6,-7
1,Yufei Ren,477,430,0.0%,5.9%,68.6%,57.1%,43.8%,7.1%,29.2%,4.7%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,44.4%,0.0%,62.5%,43.8%,26.7%,46.2%,20.0%,34.3%,46.4%,40.0%,25.0%,15.4%,15.4%,45.5%,25,83.9%,38.5%,2.17,7.1%,0.0%,4.8,43.9%,40.7%,52.9%,33.3%,57.0%,3.8%,-10.0,6.1,0.0%,-,2.7%,66.7%,8.1%,28.6%,0.0%,6.8%,20.0%,1.2%,0.0%,-7,-3
1,Naiktha Bains,480,199,5.0%,11.0%,56.0%,60.7%,38.6%,12.4%,19.8%,6.5%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,2.3%,56.7%,1.8%,54.5%,44.9%,44.6%,48.4%,19.6%,32.6%,48.6%,85.7%,31.6%,18.2%,18.2%,48.1%,-68,77.5%,45.6%,2.43,21.6%,3.0%,5.2,47.7%,43.2%,37.5%,55.2%,58.2%,28.2%,0.2,-8.0,1.3%,0.0%,11.5%,71.4%,5.7%,13.3%,0.0%,1.1%,4.3%,0.2%,100.0%,-63,-63
1,Andreea Prisacariu,481,304,1.1%,4.5%,68.2%,35.0%,28.6%,2.7%,20.5%,1.6%,1.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.1%,51.9%,0.4%,48.9%,45.5%,48.1%,20.7%,9.5%,14.3%,26.3%,14.3%,0.0%,0.0%,0.0%,10.0%,-119,73.2%,40.0%,2.45,5.3%,11.1%,4.3,32.3%,26.9%,27.3%,20.0%,50.0%,1.6%,-9.1,-14.4,0.0%,-,5.5%,50.0%,2.3%,6.3%,0.0%,0.0%,0.0%,2.4%,0.0%,-88,-106
1,Martina Okalova,482,427,N/A,N/A,N/A,N/A,N/A,9.4%,15.0%,5.8%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.5%,44.5%,1.1%,49.6%,47.8%,53.7%,46.3%,25.0%,28.9%,50.9%,60.0%,47.6%,25.8%,29.0%,34.8%,34,70.6%,38.3%,2.06,1.8%,6.5%,4.2,55.2%,40.7%,41.2%,33.3%,69.7%,2.0%,1.1,-6.7,0.0%,-,3.1%,83.3%,7.3%,12.1%,6.7%,5.6%,20.0%,0.0%,-,-98,-62
1,Momoko Kobori,504,226,0.0%,2.4%,75.3%,53.1%,47.6%,11.7%,13.1%,6.1%,5.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.7%,50.8%,0.3%,51.6%,44.5%,46.7%,58.8%,29.4%,33.3%,58.3%,37.5%,62.5%,6.3%,6.3%,60.0%,-104,74.3%,55.8%,2.22,8.3%,13.0%,3.9,53.7%,63.0%,64.7%,45.5%,47.5%,7.8%,7.7,9.0,0.0%,-,8.0%,81.8%,7.7%,9.5%,0.0%,8.6%,14.3%,0.5%,0.0%,22,11
26,Polona Hercog,507,35,3.9%,4.6%,60.2%,63.4%,47.3%,13.4%,21.3%,7.4%,2.1%,104.9,111.8,104.2,84.2,90.6,86.9,3.6%,57.1%,2.3%,57.2%,44.5%,43.8%,47.2%,25.2%,36.9%,48.8%,13.3%,57.0%,13.9%,21.3%,45.3%,24,77.1%,50.9%,2.31,12.2%,5.4%,4.5,51.1%,48.7%,46.7%,49.2%,62.2%,52.2%,1.4,-1.7,0.6%,84.6%,6.8%,73.1%,11.4%,18.1%,9.4%,7.8%,24.7%,2.2%,48.9%,5,10
1,Lisa Zaar,511,498,N/A,N/A,N/A,N/A,N/A,7.1%,22.2%,5.7%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,33.3%,0.0%,33.3%,37.9%,40.0%,33.3%,12.5%,12.5%,23.8%,28.6%,0.0%,7.7%,23.1%,50.0%,-64,75.9%,48.8%,2.28,9.5%,0.0%,4.3,31.5%,41.7%,35.7%,57.1%,42.3%,9.9%,-1.5,3.9,0.0%,-,9.1%,77.8%,9.7%,18.2%,12.5%,10.5%,0.0%,0.6%,0.0%,-46,-24
1,Tiphanie Fiquet,513,454,N/A,N/A,N/A,N/A,N/A,15.3%,20.4%,6.1%,7.6%,N/A,N/A,N/A,N/A,N/A,N/A,3.3%,50.9%,1.2%,48.7%,41.6%,44.0%,44.2%,28.9%,44.4%,43.8%,20.0%,15.4%,13.0%,21.7%,45.0%,-7,76.1%,41.2%,2.19,21.9%,37.5%,3.9,46.3%,37.0%,35.3%,54.5%,47.5%,27.0%,4.1,-3.0,6.0%,75.0%,7.3%,70.0%,11.4%,5.6%,33.3%,9.4%,22.2%,0.5%,0.0%,31,26
1,Malaika Rapolu,515,512,3.7%,9.3%,50.0%,63.0%,29.6%,8.2%,18.9%,5.4%,1.8%,N/A,N/A,N/A,N/A,N/A,N/A,6.9%,55.2%,0.0%,36.0%,50.0%,30.3%,40.0%,18.5%,29.6%,54.5%,22.2%,30.8%,18.2%,22.7%,22.2%,52,73.9%,51.0%,2.69,18.2%,5.9%,3.9,42.0%,45.5%,41.7%,44.4%,51.8%,7.3%,-1.1,-1.7,0.0%,-,4.1%,60.0%,9.3%,28.6%,100.0%,3.4%,25.0%,0.5%,0.0%,-62,-44
2,Yuki Naito,516,169,2.6%,3.8%,58.3%,61.0%,43.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,54.0%,2.4%,55.6%,51.8%,50.3%,41.9%,32.8%,45.9%,51.2%,30.4%,52.0%,6.3%,8.3%,33.3%,-53,75.2%,45.4%,2.43,34.1%,14.3%,4.3,39.5%,44.9%,45.9%,61.1%,52.8%,5.8%,1.0,-3.6,2.8%,33.3%,11.5%,64.3%,8.4%,5.6%,50.0%,10.3%,37.5%,1.4%,33.3%,41,26
1,Nikola Bartunkova,517,226,2.5%,5.5%,56.3%,61.2%,42.3%,12.5%,25.0%,4.4%,6.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,34.6%,0.0%,41.7%,41.7%,31.8%,31.6%,17.2%,27.6%,33.3%,66.7%,0.0%,12.5%,18.8%,28.6%,-9,78.3%,47.2%,2.21,0.0%,7.1%,4.1,38.8%,50.0%,9.1%,25.0%,39.5%,8.2%,-2.8,-1.7,0.0%,-,8.3%,62.5%,6.5%,0.0%,0.0%,8.8%,36.4%,3.1%,20.0%,-6,-9
